iter	Passed	Remaining
153	690	3794
154	693	3781
155	695	3764
156	698	3750
157	700	3733
158	702	3717
159	705	3701
160	710	3700
161	712	3685
162	714	3670
163	717	3656
164	719	3642
165	723	3633
166	725	3619
167	727	3604
168	730	3589
169	732	3574
170	734	3561
171	739	3560
172	741	3546
173	744	3533
174	746	3520
175	749	3507
176	752	3496
177	754	3483
178	756	3471
179	759	3458
180	761	3446
181	763	3431
182	769	3435
183	772	3424
184	776	3421
185	779	3409
186	783	3407
187	786	3395
188	788	3382
189	790	3370
190	792	3356
191	798	3359
192	800	3347
193	803	3336
194	805	3326
195	808	3314
196	811	3308
197	814	3297
198	816	3285
199	818	3273
200	820	3262
201	822	3251
202	827	3247
203	829	3236
204	831	3226
205	834	3215
206	836	3203
207	839	3195
208	841	3185
209	843	3174
210	846	3164
211	848	3154
212	851	3146
213	857	3149
214	859	3139
215	862	3129
216	864	3119
217	866	3109
218	870	3104
219	873	3096
220	875	3087
221	878	3077
222	880	3068
223	882	3058
224	891	3070
225	893	3060
226	896	3051
227	899	3045
228	902	3037
229	904	3029
230	907	3020
231	909	3011
232	912	3002
233	915	2997
234	918	2988
235	920	2979
236	922	2970
237	925	2961
238	927	2953
239	929	2944
240	932	2936
241	935	2928
242	937	2920
243	939	2912
244	947	2918
245	949	2909
246	951	2901
247	953	2892
248	956	2884
249	959	2877
250	961	2869
251	963	2860
252	965	2851
253	968	2843
254	970	2835
255	976	2838
256	978	2829
257	981	2821
258	983	2814
259	986	2806
260	988	2800
261	991	2793
262	994	2786
263	996	2778
264	999	2771
265	1005	2774
266	1007	2767
267	1010	2759
268	1012	2751
269	1014	2743
270	1017	2738
271	1020	2731
272	1023	2724
273	1025	2717
274	1028	2710
275	1030	2703
276	1036	2704
277	1038	2696
278	1040	2688
279	1042	2680
280	1044	2673
281	1047	2667
282	1050	2660
283	1052	2652
284	1055	2647
285	1057	2640
286	1059	2633
287	1063	2629
288	1066	2622
289	1068	2616
290	1070	2609
291	1073	2602
292	1076	2598
293	1080	2593
294	1082	2587
295	1085	2581
296	1087	2574
297	1093	2576
298	1096	2569
299	1098	2562
300	1100	2554
301	1102	2547
302	1106	2544
303	1108	2537
304	1110	2531
305	1112	2524
306	1115	2517
307	1117	2510
308	1124	2513
309	1126	2507
310	1128	2500
311	1130	2492
312	1132	2486
313	1136	2482
314	1139	2477
315	1141	2471
316	1144	2464
317	1146	2458
318	1152	2459
319	1154	2453
320	1156	2447
321	1159	2440
322	1161	2434
323	1165	2430
324	1167	2425
325	1170	2419
326	1172	2413
327	1174	2407
328	1180	2407
329	1182	2401
330	1185	2395
331	1187	2390
332	1190	2384
333	1193	2379
334	1196	2374
335	1198	2368
336	1200	2362
337	1203	2356
338	1206	2352
339	1212	2352
340	1214	2347
341	1216	2341
342	1219	2335
343	1221	2329
344	1224	2324
345	1226	2318
346	1229	2313
347	1231	2307
348	1233	2301
349	1236	2295
350	1238	2290
351	1241	2285
352	1243	2279
353	1246	2273
354	1248	2268
355	1250	2262
356	1253	2257
357	1256	2252
358	1258	2247
359	1261	2241
360	1266	2242
361	1269	2236
362	1271	2231
363	1273	2225
364	1275	2219
365	1278	2214
366	1281	2209
367	1283	2204
368	1286	2199
369	1288	2193
370	1291	2188
371	1294	2185
372	1297	2180
373	1299	2174
374	1301	2169
375	1304	2164
376	1306	2158
377	1309	2155
378	1311	2149
379	1314	2144
380	1316	2139
381	1319	2134
382	1321	2129
383	1328	2131
384	1330	2126
385	1333	2121
386	1335	2116
387	1339	2112
388	1341	2107
389	1344	2102
390	1346	2097
391	1349	2092
392	1351	2087
393	1359	2091
394	1362	2086
395	1364	2081
396	1367	2076
397	1369	2072
398	1372	2067
399	1375	2062
400	1377	2058
401	1380	2053
402	1383	2050
403	1386	2045
404	1388	2040
405	1391	2035
406	1393	2030
407	1395	2025
408	1398	2021
409	1401	2016
410	1403	2011
411	1406	2007
412	1409	2002
413	1411	1998
414	1414	1993
415	1416	1988
416	1419	1983
417	1421	1979
418	1424	1974
419	1426	1969
420	1429	1965
421	1431	1960
422	1434	1956
423	1436	1951
424	1441	1950
425	1444	1946
426	1446	1941
427	1449	1936
428	1451	1932
429	1454	1928
430	1457	1923
